Designator,Mid X,Mid Y,Rotation,Layer
C4,105.6565,-73.3805,270.0,top
C5,95.8775,-70.9555,90.0,top
C6,102.8625,-49.3775,0.0,top
C7,101.0845,-93.0655,0.0,bottom
C8,94.7345,-63.6135,90.0,bottom
D1,87.3685,-86.4615,90.0,top
J1,100.5765,-68.2604,0.0,top
J2,86.3525,-74.2695,0.0,top
J3,100.5815,-66.9035,180.0,top
R1,105.9105,-47.5995,270.0,bottom
R2,87.3685,-65.3795,180.0,bottom
R3,87.6225,-80.1115,180.0,bottom
U1,100.8305,-77.8255,180.0,top
U2,100.8305,-66.6495,0.0,top
U3,100.8305,-53.9495,180.0,top
U4,100.8305,-89.0015,0.0,bottom
U5,100.8305,-66.6495,180.0,bottom
